Date,Voucher,Party,Product,Qty,Rate
1/4/2017,1,SOLANKI PLASTICS,DONA-VAI-9100,2,1690
1/4/2017,1,SOLANKI PLASTICS,LITE FOAM(1200),6,1620
1/4/2017,2,SARNESWARA TRADERS,VISHNU CHOTA WINE,500,23
1/4/2017,2,SARNESWARA TRADERS,LITE FOAM(1200),6,1620
1/4/2017,2,SARNESWARA TRADERS,DONA-VAI-9100,5,1690
1/4/2017,2,SARNESWARA TRADERS,CLASSIC ENJOY(750),1,1320
1/4/2017,898,LOCK,VISHNU 250ML,100,30
1/4/2017,898,LOCK,BLACK DOG-350ML,100,26
1/4/2017,2497,VAMSI KRISHNA FANCY,LOOSE ITEMS,1,800
1/4/2017,9263,VAMSI KRISHNA FANCY,LOOSE ITEMS,1,280
1/4/2017,9545,VKP,LOOSE ITEMS,1,695
1/5/2017,880,KARIMULLA-BTTR,14 GREEN,1000,1.55
1/5/2017,880,KARIMULLA-BTTR,TIRUMALA-50(16*20),20,26
1/5/2017,880,KARIMULLA-BTTR,13*16 WHITE RK,50,16
1/5/2017,880,KARIMULLA-BTTR,HIGH COUNT 16*20 BL,1,160
1/5/2017,880,KARIMULLA-BTTR,SILVER TONE 10*12 B,10,17
1/5/2017,881,SVS-ALR,14 GREEN,1000,1.5
1/5/2017,882,LAVANYA FANCY,VISHNU 300ML,100,28
1/5/2017,882,LAVANYA FANCY,BLACK DOG-350ML,100,25.5
1/5/2017,882,LAVANYA FANCY,TIRUMALA LEAF(9),2,370
1/5/2017,883,CHEKKA SUDHAKAR,VISHNU 300ML,100,28
1/5/2017,883,CHEKKA SUDHAKAR,14 GREEN,1000,1.5
1/5/2017,883,CHEKKA SUDHAKAR,"TIFFIN PLATES-9""",30,16
1/5/2017,883,CHEKKA SUDHAKAR,TIFFIN PLATENO-10,30,16
1/5/2017,883,CHEKKA SUDHAKAR,TIFFIN PLATES-11NO-,10,20
1/5/2017,896,KRISHNA AYYAPAGUDI,TIRML-BL-KG-13*16,30,127
1/5/2017,897,RAFI TRADERS-UGIRI,13*16 WHITE RK,200,15.5
1/5/2017,897,RAFI TRADERS-UGIRI,16*20(100-W),100,26
1/5/2017,897,RAFI TRADERS-UGIRI,DURGA 10*12 BLUE,100,5.5
1/5/2017,897,RAFI TRADERS-UGIRI,13*16 BK(100)KRISHN,50,16
1/5/2017,901,BSM-MTKR,NR TEA,180,11
1/5/2017,901,BSM-MTKR,GOLD LEAF SITTING,2,700
1/5/2017,901,BSM-MTKR,14 GREEN,400,1.55
1/5/2017,902,SATYAM-K,PP (+) 3.5*3.5,10,145
1/5/2017,902,SATYAM-K,PP 3*3,5,145
1/5/2017,902,SATYAM-K,PP 2.5*2.5,10,150
1/5/2017,902,SATYAM-K,PP 8*10,3,132
1/5/2017,902,SATYAM-K,PP 10*12 +,3,132
1/5/2017,903,KVKC,SILV-CONT-750ML(100,4,2300
1/5/2017,904,AFOOZO PRIVATE LIMI,SILVER POUCH 5*7,10,35
1/5/2017,904,AFOOZO PRIVATE LIMI,SILVER POUCH 4*6,10,30
1/5/2017,904,AFOOZO PRIVATE LIMI,SILV--250ML-LOOSE,500,1.2
1/5/2017,904,AFOOZO PRIVATE LIMI,SILV--450-LOOSE,300,1.6
1/5/2017,904,AFOOZO PRIVATE LIMI,RUBBER 200GRAM,1,100
1/5/2017,904,AFOOZO PRIVATE LIMI,4*5 TRISUL,10,15
1/5/2017,904,AFOOZO PRIVATE LIMI,GARUDA 13*16 BLUE,10,14
1/5/2017,904,AFOOZO PRIVATE LIMI,NAPKEEN 2ND,50,10
1/5/2017,904,AFOOZO PRIVATE LIMI,VISHNU CHOTA WINE,70,35
1/5/2017,904,AFOOZO PRIVATE LIMI,VAT AMOUNT,1,253
1/5/2017,905,SSS-BUCHI-SHANTINAG,DONA-VAI-9100,1,1700
1/5/2017,906,SAIPROVISONS-BTTR,VISHNU 300ML,100,28
1/5/2017,907,CHEKKA SUDHAKAR,TIRUMALA TEA,180,10.5
1/5/2017,908,AVS-NPT,TOOTH PICS,2,110
1/5/2017,908,AVS-NPT,SILVER POUCH 6*8,10,40
1/5/2017,908,AVS-NPT,SILVER POUCH 7*9,10,55
1/5/2017,908,AVS-NPT,SILVER POUCH 9*12,5,90
1/5/2017,908,AVS-NPT,VISHNU 250ML,100,30
1/5/2017,909,SAIFANCY,VISHNU 300ML,100,28
1/5/2017,910,KVKC,13*16 WHITE RK,100,16
1/5/2017,910,KVKC,10*12 RK,400,8
1/5/2017,910,KVKC,TIRUMALA LEAF(9),10,350
1/5/2017,910,KVKC,NAPKEEN 2ND,375,9
1/5/2017,910,KVKC,LITE FOAM(1200),2,1680
1/5/2017,910,KVKC,NO-00,5,140
1/5/2017,910,KVKC,SILVER TONE 10*12 W,50,16
1/5/2017,910,KVKC,RUF&TUF -FORK,10,30
1/5/2017,911,KNC,GOLD LEAF SITTING,4,670
1/5/2017,911,KNC,APPLE 300ML(COLOUR),100,28
1/5/2017,913,LNGS,14 GREEN,2000,1.53
1/5/2017,913,LNGS,VISHNU 250ML,100,30
1/5/2017,913,LNGS,10*12 BK KRISHNA,1400,7.3
1/5/2017,913,LNGS,TIRUMALA-50(16*20),120,26
1/5/2017,913,LNGS,13*16 BK KRISHNA,200,13.5
